pitch_name,game_year,game_month,game_day,home_team,LAA_score,ENEMY_score,score_difference,is_LAA_score_is_higher,stand,on_3b,on_2b,on_1b,count_runner,inning,pitch_number,pitch_count_per_inning,pitch_count_per_game,outs_when_up,balls,strikes,sz_top,sz_bot,is_first_pitch_number,release_speed,release_pos_x,release_pos_y,is_incourse_ball,is_high_ball,release_pos_z,release_spin_rate,release_extension,plate_x,plate_z,events,description,zone,type,hc_x,hc_y,one_pitch_ago,two_pitches_ago,three_pitches_ago
1,2018,4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3.54,1.6,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,3.33,1.46,0,96.4,-2.16,54.05,1.0,0.0,6.2,2107.0,6.4,-0.36,2.81,19.0,2.0,4.0,0.0,0.0,0.0,4-Seam Fastball,,
0,2018,4,1,1,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,2,3.59,1.66,0,81.5,-2.36,54.42,0.0,1.0,6.03,2355.0,6.1,0.21,3.43,19.0,9.0,2.0,0.0,0.0,0.0,Sweeper,4-Seam Fastball,
0,2018,4,1,1,0,0,0,0,0,0,0,0,0,1,4,4,4,0,1,2,3.33,1.46,0,83.6,-2.36,54.43,0.0,1.0,6.01,2368.0,6.1,0.24,3.67,19.0,0.0,2.0,1.0,0.0,0.0,Sweeper,Sweeper,4-Seam Fastball
1,2018,4,1,1,0,0,0,0,1,0,0,0,0,1,1,5,5,1,0,0,3.22,1.4,1,,,,,,,,,,,,,,,,,,,
1,2018,4,1,1,0,0,0,0,1,0,0,0,0,1,2,6,6,1,0,1,3.52,1.62,0,98.1,-2.3,53.98,-1.0,1.0,6.17,2315.0,6.5,-0.59,3.07,19.0,9.0,1.0,0.0,0.0,0.0,4-Seam Fastball,,
1,2018,4,1,1,0,0,0,0,1,0,0,0,0,1,3,7,7,1,1,1,3.65,1.67,0,98.8,-2.35,53.95,-1.0,1.0,6.11,2385.0,6.5,-0.56,3.59,19.0,0.0,1.0,1.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,
1,2018,4,1,1,0,0,0,0,1,0,0,0,0,1,4,8,8,1,2,1,3.22,1.4,0,99.0,-2.29,53.91,-1.0,1.0,6.13,2301.0,6.6,-0.93,3.6,19.0,0.0,11.0,1.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,4-Seam Fastball
0,2018,4,1,1,0,0,0,0,1,0,0,0,0,1,5,9,9,1,2,2,3.57,1.67,0,98.6,-2.24,53.92,-1.0,1.0,6.14,2250.0,6.6,-0.32,3.49,19.0,3.0,11.0,0.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,4-Seam Fastball
1,2018,4,1,1,0,0,0,0,1,0,0,0,0,1,6,10,10,1,3,2,3.22,1.4,0,83.7,-2.41,54.31,-1.0,1.0,6.01,2347.0,6.2,-0.97,4.21,19.0,0.0,11.0,1.0,0.0,0.0,Sweeper,4-Seam Fastball,4-Seam Fastball
1,2018,4,1,1,0,0,0,0,1,0,0,0,0,1,1,11,11,2,0,0,3.67,1.66,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,0,0,0,0,1,0,0,0,0,1,2,12,12,2,0,1,3.67,1.7,0,99.6,-2.27,53.8,0.0,0.0,6.11,2331.0,6.7,-0.16,2.7,19.0,2.0,5.0,0.0,0.0,0.0,4-Seam Fastball,,
0,2018,4,1,1,0,0,0,0,1,0,0,0,0,1,3,13,13,2,0,2,3.49,1.53,0,88.9,-2.05,54.26,0.0,1.0,6.24,1504.0,6.2,0.04,3.47,19.0,2.0,2.0,0.0,0.0,0.0,Split-Finger,4-Seam Fastball,
0,2018,4,1,1,2,0,2,1,0,0,0,0,0,2,1,1,14,0,0,0,3.8,1.71,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,2,0,2,1,0,0,0,0,0,2,2,2,15,0,0,1,3.39,1.45,0,81.7,-2.4,54.56,1.0,0.0,6.15,2255.0,5.9,-0.38,3.03,19.0,2.0,4.0,0.0,0.0,0.0,Sweeper,,
0,2018,4,1,1,2,0,2,1,0,0,0,0,0,2,3,3,16,0,0,2,3.39,1.45,0,82.2,-2.34,54.29,1.0,1.0,6.11,2338.0,6.2,-0.4,4.05,19.0,9.0,11.0,0.0,0.0,0.0,Sweeper,Sweeper,
1,2018,4,1,1,2,0,2,1,1,0,0,0,0,2,1,4,17,1,0,0,3.42,1.65,1,,,,,,,,,,,,,,,,,,,
1,2018,4,1,1,2,0,2,1,1,0,0,0,0,2,2,5,18,1,1,0,3.28,1.46,0,98.1,-2.37,53.96,-1.0,1.0,6.14,2116.0,6.5,-1.24,3.37,19.0,0.0,11.0,1.0,0.0,0.0,4-Seam Fastball,,
1,2018,4,1,1,2,0,2,1,0,0,0,1,1,2,1,6,19,1,0,0,3.46,1.53,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,2,0,2,1,0,0,0,1,1,2,2,7,20,1,0,1,3.6,1.67,0,97.6,-2.36,53.72,1.0,1.0,6.06,2274.0,6.8,-0.65,3.11,19.0,3.0,1.0,0.0,0.0,0.0,4-Seam Fastball,,
0,2018,4,1,1,2,0,2,1,0,0,0,1,1,2,3,8,21,1,0,2,3.46,1.53,0,84.8,-2.53,54.23,-1.0,0.0,5.89,2436.0,6.3,0.44,2.83,19.0,2.0,6.0,0.0,0.0,0.0,Sweeper,4-Seam Fastball,
0,2018,4,1,1,2,0,2,1,0,0,0,1,1,2,4,9,22,1,0,2,3.58,1.58,0,83.6,-2.56,54.4,1.0,1.0,5.85,2444.0,6.1,-1.07,2.89,19.0,3.0,11.0,0.0,0.0,0.0,Sweeper,Sweeper,4-Seam Fastball
1,2018,4,1,1,2,0,2,1,0,0,0,1,1,2,5,10,23,1,1,2,3.46,1.53,0,89.8,-2.15,53.9,-1.0,-1.0,6.15,1524.0,6.6,0.31,-0.11,19.0,1.0,14.0,1.0,0.0,0.0,Split-Finger,Sweeper,Sweeper
0,2018,4,1,1,2,0,2,1,0,0,1,1,2,2,1,11,24,1,0,0,3.61,1.55,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,2,0,2,1,0,0,1,1,2,2,2,12,25,1,0,1,3.61,1.38,0,81.8,-2.42,54.03,1.0,0.0,5.94,2402.0,6.5,-0.58,2.84,19.0,2.0,4.0,0.0,0.0,0.0,Sweeper,,
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,2,1,13,26,1,0,0,3.83,1.66,1,,,,,,,,,,,,,,,,,,,
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,2,2,14,27,1,0,1,3.7,1.71,0,98.7,-2.25,53.65,0.0,-1.0,6.06,2330.0,6.8,0.25,2.25,19.0,2.0,8.0,0.0,0.0,0.0,4-Seam Fastball,,
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,2,3,15,28,1,1,1,3.66,1.62,0,98.5,-2.3,53.73,-1.0,-1.0,6.04,2299.0,6.8,0.73,1.33,19.0,0.0,14.0,1.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,
