pitch_name,game_year,game_month,game_day,home_team,LAA_score,ENEMY_score,stand,on_3b,on_2b,on_1b,inning,pitch_number,outs_when_up,balls,strikes,sz_top,sz_bot,is_first_pitch_number,release_speed,release_pos_x,release_pos_y,release_pos_z,release_spin_rate,release_extension,plate_x,plate_z,events,description,zone,type,hc_x,hc_y
1,2022,4,7,0,0,0,0,0,0,0,1,1,0,0,0,2.9,1.26,1,,,,,,,,,,,,,,
1,2022,4,7,0,0,0,0,0,0,0,1,2,0,1,0,2.9,1.28,0,99.8,-2.19,53.43,5.82,2182.0,7.1,1.32,-0.29,19.0,0.0,14.0,1.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,0,0,1,3,0,1,1,2.81,1.21,0,97.9,-2.16,53.54,5.89,2164.0,7.0,-0.62,2.01,19.0,2.0,4.0,0.0,0.0,0.0
0,2022,4,7,0,0,0,0,0,0,0,1,4,0,2,1,2.79,1.3,0,99.2,-2.13,53.63,5.87,2320.0,6.9,1.53,1.84,19.0,0.0,14.0,1.0,0.0,0.0
2,2022,4,7,0,0,0,0,0,0,0,1,5,0,2,2,2.83,1.23,0,86.9,-2.29,53.52,5.77,2440.0,7.0,-0.64,1.74,19.0,2.0,7.0,0.0,0.0,0.0
1,2022,4,7,0,0,0,1,0,0,0,1,1,1,0,0,3.47,1.59,1,,,,,,,,,,,,,,
0,2022,4,7,0,0,0,0,0,0,1,1,1,1,0,0,3.1,1.54,1,,,,,,,,,,,,,,
1,2022,4,7,0,0,0,0,0,0,1,1,2,1,1,0,3.37,1.53,0,84.0,-2.18,53.59,5.85,2408.0,6.9,-1.02,4.5,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,0,1,1,3,1,1,1,3.37,1.53,0,97.8,-1.88,53.67,5.9,1981.0,6.8,-0.54,2.81,19.0,3.0,1.0,0.0,0.0,0.0
2,2022,4,7,0,0,0,0,0,0,1,1,4,1,1,2,3.37,1.53,0,98.2,-1.88,53.63,5.9,2190.0,6.9,0.26,1.83,19.0,3.0,8.0,0.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,0,1,1,5,1,1,2,3.37,1.53,0,90.4,-1.79,53.6,6.06,1253.0,6.9,-1.14,3.07,19.0,3.0,11.0,0.0,0.0,0.0
0,2022,4,7,0,0,0,1,0,0,1,1,1,2,0,0,3.41,1.69,1,,,,,,,,,,,,,,
1,2022,4,7,0,0,0,1,0,0,1,1,2,2,0,1,3.58,1.68,0,87.0,-2.14,53.71,5.78,2388.0,6.8,-0.39,2.96,19.0,2.0,1.0,0.0,0.0,0.0
1,2022,4,7,0,0,0,1,0,0,1,1,3,2,0,2,3.43,1.69,0,97.9,-1.97,53.78,5.89,2238.0,6.7,0.12,2.66,19.0,3.0,5.0,0.0,0.0,0.0
2,2022,4,7,0,0,0,1,0,0,1,1,4,2,1,2,3.41,1.69,0,99.7,-2.0,53.68,5.98,2097.0,6.8,0.88,2.41,19.0,0.0,14.0,1.0,0.0,0.0
1,2022,4,7,0,0,0,1,0,0,1,1,5,2,2,2,3.34,1.69,0,90.8,-1.82,53.47,5.97,1133.0,7.0,-0.13,0.99,19.0,0.0,13.0,1.0,0.0,0.0
0,2022,4,7,0,0,0,1,0,0,1,1,6,2,3,2,3.3,1.64,0,99.2,-1.78,53.64,5.96,2230.0,6.9,1.84,3.14,19.0,0.0,12.0,1.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,1,1,1,1,2,0,0,3.37,1.53,1,,,,,,,,,,,,,,
